local_prefix,local_code,vocabulary,mapped_to_code,mapped_to_description
AEMPS,13094,RxNorm,56443,sodium acetate
AEMPS,60044,RxNorm,3264,dexamethasone
AEMPS,61646,RxNorm,1815,bupivacaine
AEMPS,66015,RxNorm,997602,citicoline
AEMPS,66044,RxNorm,51272,quetiapine
AEMPS,74074,RxNorm,7442,nitric oxide
AEMPS,77045,RxNorm,115698,ziprasidone
AEMPS,86407,RxNorm,5879,interferon alfa-2a
AEMPS,97750,RxNorm,4491,fluorometholone
AEMPS,156705,RxNorm,9601,scopolamine
AEMPS,357418,RxNorm,10395,tetracycline
AEMPS,365899,RxNorm,6960,midazolam
AEMPS,600011,Strength,25 MG,
AEMPS,600011,RxNorm,298869,eplerenone
AEMPS,600011,Route,Oral Product,
AEMPS,600017,RxNorm,26225,ondansetron
AEMPS,600017,Strength,4 MG,
AEMPS,600017,Route,Oral Product,
AEMPS,600018,Strength,2 MG/ML,
AEMPS,600018,RxNorm,26225,ondansetron
AEMPS,600018,Route,Injectable Product,
AEMPS,600019,Strength,2 MG/ML,
AEMPS,600019,RxNorm,26225,ondansetron
AEMPS,600019,Route,Injectable Product,
AEMPS,600020,RxNorm,26225,ondansetron
AEMPS,600020,Strength,8 MG,
AEMPS,600020,Route,Oral Product,
AEMPS,600028,RxNorm,48203,clavulanate
AEMPS,600028,RxNorm,723,amoxicillin
AEMPS,600028,Route,Injectable Product,
AEMPS,600029,RxNorm,48203,clavulanate
AEMPS,600029,RxNorm,723,amoxicillin
AEMPS,600029,Route,Injectable Product,
AEMPS,600049,RxNorm,161,acetaminophen
AEMPS,600049,Route,Oral Product,
AEMPS,600080,RxNorm,280611,bemiparin
AEMPS,600098,RxNorm,280611,bemiparin
AEMPS,600120,RxNorm,1309250,olive oil
AEMPS,600120,RxNorm,1310578,medium chain triglycerides
AEMPS,600120,RxNorm,4419,fish oils
AEMPS,600120,RxNorm,9949,soybean oil
AEMPS,600120,Route,Injectable Product,
AEMPS,600121,RxNorm,1309250,olive oil
AEMPS,600121,RxNorm,1310578,medium chain triglycerides
AEMPS,600121,RxNorm,4419,fish oils
AEMPS,600121,RxNorm,9949,soybean oil
AEMPS,600121,Route,Injectable Product,
AEMPS,600143,RxNorm,48203,clavulanate
AEMPS,600143,RxNorm,723,amoxicillin
AEMPS,600143,Route,Injectable Product,
AEMPS,600144,RxNorm,48203,clavulanate
AEMPS,600144,RxNorm,723,amoxicillin
AEMPS,600144,Route,Injectable Product,
AEMPS,600210,Strength,120 MG/ML,
AEMPS,600210,RxNorm,9853,sodium
AEMPS,600210,Route,Injectable Product,
AEMPS,600223,RxNorm,56443,sodium acetate
AEMPS,600223,Route,Injectable Product,
AEMPS,600243,Strength,18000000 UNT,
AEMPS,600243,RxNorm,70223,aldesleukin
AEMPS,600243,Route,Injectable Product,
AEMPS,600256,Strength,2000 MG,
AEMPS,600256,RxNorm,2191,ceftazidime
AEMPS,600256,Route,Injectable Product,
AEMPS,600257,Strength,1000 MG,
AEMPS,600257,RxNorm,2191,ceftazidime
AEMPS,600257,Route,Injectable Product,
AEMPS,600299,Strength,2000 MG,
AEMPS,600299,RxNorm,2180,cefazolin
AEMPS,600299,Route,Injectable Product,
AEMPS,600307,Strength,0.2 MG/ML,
AEMPS,600307,RxNorm,7426,nimodipine
AEMPS,600307,Route,Injectable Product,
AEMPS,600319,RxNorm,6809,metformin
AEMPS,600319,Strength,850 MG,
AEMPS,600319,Route,Oral Product,
AEMPS,600340,Strength,5 MG/ML,
AEMPS,600340,RxNorm,6960,midazolam
AEMPS,600340,Route,Injectable Product,
AEMPS,600364,Strength,100 MG/ML,
AEMPS,600364,RxNorm,8611,povidone-iodine
AEMPS,600364,Route,Topical Product,
AEMPS,600447,RxNorm,3264,dexamethasone
AEMPS,600447,Strength,4 MG/ML,
AEMPS,600447,Route,Injectable Product,
AEMPS,600496,Strength,2 MG/ML,
AEMPS,600496,RxNorm,2551,ciprofloxacin
AEMPS,600496,Route,Injectable Product,
AEMPS,600514,Strength,20 MG/ML,
AEMPS,600514,RxNorm,8782,propofol
AEMPS,600514,Route,Injectable Product,
AEMPS,600551,Strength,1 MG/ML,
AEMPS,600551,RxNorm,10627,tobramycin
AEMPS,600551,Route,Injectable Product,
AEMPS,600608,Strength,2 MG/ML,
AEMPS,600608,RxNorm,4450,fluconazole
AEMPS,600608,Route,Injectable Product,
AEMPS,600631,Strength,40 MG,
AEMPS,600631,RxNorm,7646,omeprazole
AEMPS,600631,Route,Injectable Product,
AEMPS,600633,Strength,1000 MG,
AEMPS,600633,RxNorm,2191,ceftazidime
AEMPS,600633,Route,Injectable Product,
AEMPS,600634,Strength,2000 MG,
AEMPS,600634,RxNorm,2191,ceftazidime
AEMPS,600634,Route,Injectable Product,
AEMPS,600635,Strength,125 MG/ML,
AEMPS,600635,RxNorm,OMOP4700454,spherical adsorptive carbon
AEMPS,600635,Route,Oral Product,
AEMPS,600647,RxNorm,37617,tazobactam
AEMPS,600647,RxNorm,8339,piperacillin
AEMPS,600647,Route,Injectable Product,
AEMPS,600652,Strength,50 MG,
AEMPS,600652,RxNorm,52175,losartan
AEMPS,600652,Route,Oral Product,
AEMPS,600700,Strength,50 MG/ML,
AEMPS,600700,RxNorm,8183,phenytoin
AEMPS,600700,Route,Injectable Product,
AEMPS,600716,RxNorm,37617,tazobactam
AEMPS,600716,RxNorm,8339,piperacillin
AEMPS,600716,Route,Injectable Product,
AEMPS,600723,Strength,5 MG/ML,
AEMPS,600723,RxNorm,6922,metronidazole
AEMPS,600723,Route,Injectable Product,
AEMPS,600748,RxNorm,2194,cefuroxime
AEMPS,600748,Strength,500 MG,
AEMPS,600748,Route,Oral Product,
AEMPS,600767,Strength,250 MG,
AEMPS,600767,RxNorm,281,acyclovir
AEMPS,600767,Route,Injectable Product,
AEMPS,600781,RxNorm,37617,tazobactam
AEMPS,600781,RxNorm,8339,piperacillin
AEMPS,600781,Route,Injectable Product,
AEMPS,601021,Strength,1000 MG,
AEMPS,601021,RxNorm,2186,cefotaxime
AEMPS,601021,Route,Injectable Product,
AEMPS,601104,Strength,900 MG,
AEMPS,601104,RxNorm,91101,acetyl salicylate
AEMPS,601104,Route,Injectable Product,
AEMPS,601260,Strength,10 MG/ML,
AEMPS,601260,RxNorm,9143,ranitidine
AEMPS,601260,Route,Injectable Product,
AEMPS,602342,Strength,1000 MG,
AEMPS,602342,RxNorm,2625,cloxacillin
AEMPS,602342,Route,Injectable Product,
AEMPS,602356,Strength,10 MG/ML,
AEMPS,602356,RxNorm,4603,furosemide
AEMPS,602356,Route,Injectable Product,
AEMPS,602357,Strength,10 MG/ML,
AEMPS,602357,RxNorm,4603,furosemide
AEMPS,602357,Route,Injectable Product,
AEMPS,602364,Strength,2.5 MG,
AEMPS,602364,RxNorm,35296,ramipril
AEMPS,602364,Route,Oral Product,
AEMPS,602370,Strength,500 MG,
AEMPS,602370,RxNorm,7258,naproxen
AEMPS,602370,Route,Oral Product,
AEMPS,602371,RxNorm,17767,amlodipine
AEMPS,602371,Strength,5 MG,
AEMPS,602371,Route,Oral Product,
AEMPS,602372,Strength,10 MG,
AEMPS,602372,RxNorm,17767,amlodipine
AEMPS,602372,Route,Oral Product,
AEMPS,602381,RxNorm,161,acetaminophen
AEMPS,602381,Strength,500 MG,
AEMPS,602381,Route,Oral Product,
AEMPS,602382,RxNorm,161,acetaminophen
AEMPS,602382,Strength,650 MG,
AEMPS,602382,Route,Oral Product,
AEMPS,602386,Strength,1000 MG,
AEMPS,602386,RxNorm,161,acetaminophen
AEMPS,602386,Route,Oral Product,
AEMPS,602392,Strength,50 MG,
AEMPS,602392,RxNorm,6313,leucovorin
AEMPS,602392,Route,Injectable Product,
AEMPS,602444,Strength,9 MG/ML,
AEMPS,602444,RxNorm,9863,sodium chloride
AEMPS,602444,Route,Injectable Product,
AEMPS,602485,RxNorm,1309942,Plantago ovata seed extract
AEMPS,602485,Strength,3500 MG,
AEMPS,602485,Route,Oral Product,
AEMPS,602486,Strength,1 MG/ML,
AEMPS,602486,RxNorm,3992,epinephrine
AEMPS,602486,Route,Injectable Product,
AEMPS,602507,RxNorm,155046,pentosan polysulfate
AEMPS,602507,Strength,5 MG,
AEMPS,602507,Route,Topical Product,
AEMPS,602508,RxNorm,18631,azithromycin
AEMPS,602508,Strength,500 MG,
AEMPS,602508,Route,Oral Product,
AEMPS,602561,RxNorm,20352,carvedilol
AEMPS,602561,Strength,6.25 MG,
AEMPS,602561,Route,Oral Product,
AEMPS,602562,RxNorm,20352,carvedilol
AEMPS,602562,Strength,25 MG,
AEMPS,602562,Route,Oral Product,
AEMPS,602693,Strength,300 MG/ML,
AEMPS,602693,RxNorm,87639,iobitridol
AEMPS,602693,Route,Injectable Product,
AEMPS,602695,Strength,350 MG/ML,
AEMPS,602695,RxNorm,87639,iobitridol
AEMPS,602695,Route,Injectable Product,
AEMPS,602712,Strength,10 MG/ML,
AEMPS,602712,RxNorm,4603,furosemide
AEMPS,602712,Route,Injectable Product,
AEMPS,602716,RxNorm,26225,ondansetron
AEMPS,602716,Strength,4 MG,
AEMPS,602716,Route,Oral Product,
AEMPS,602717,RxNorm,26225,ondansetron
AEMPS,602717,Strength,8 MG,
AEMPS,602717,Route,Oral Product,
AEMPS,602718,Strength,2 MG/ML,
AEMPS,602718,RxNorm,26225,ondansetron
AEMPS,602718,Route,Injectable Product,
